DE_type,repetition,scores,exec_time
de,0,0.46232743629356,0.04
de,0,0.46232743629356,0.04
de,0,0.46232743629356,0.04
de,0,0.46232743629356,0.04
de,0,0.3220815134180767,0.04
de,0,0.018001149360647953,0.04
de,0,0.018001149360647953,0.04
de,0,0.005941288328681751,0.04
de,0,0.005941288328681751,0.04
de,0,0.0015041390946296264,0.04
de,0,0.0010788962866506316,0.04
de,0,0.0010788962866506316,0.04
de,0,5.406092643663325e-05,0.04
de,0,4.0215207758919084e-05,0.04
de,0,4.0215207758919084e-05,0.04
de,0,2.4467792411132372e-05,0.04
de,0,2.4467792411132372e-05,0.04
de,0,2.4467792411132372e-05,0.04
de,0,1.140758803757597e-05,0.04
de,0,9.565186637680673e-06,0.04
de,0,5.952701976322226e-06,0.04
de,0,9.499175247108076e-07,0.04
de,0,9.499175247108076e-07,0.04
de,0,3.990585221727597e-08,0.04
de,0,1.6900655023677538e-08,0.04
de,0,1.6900655023677538e-08,0.04
de,0,1.6900655023677538e-08,0.04
de,0,5.52991138957245e-09,0.04
de,0,5.52991138957245e-09,0.04
de,0,5.52991138957245e-09,0.04
de,0,5.52991138957245e-09,0.04
de,0,5.52991138957245e-09,0.04
de,0,4.791451651899386e-09,0.04
de,0,2.9907732462507098e-09,0.04
de,0,2.0776294666251047e-09,0.04
de,0,1.5684827375578516e-09,0.04
de,0,1.5684827375578516e-09,0.04
de,0,1.5684827375578516e-09,0.04
de,0,1.4157677750004995e-09,0.04
de,0,1.4157677750004995e-09,0.04
de,0,1.4157677750004995e-09,0.04
de,0,1.4157677750004995e-09,0.04
de,0,1.4157677750004995e-09,0.04
de,0,1.4157677750004995e-09,0.04
de,0,1.3937147026260708e-09,0.04
de,0,1.3866433051127716e-09,0.04
de,0,1.3827627610727074e-09,0.04
de,0,1.3768043736825197e-09,0.04
de,0,1.3768043736825197e-09,0.04
de,0,1.3768043736825197e-09,0.04
de,0,1.3764566290083028e-09,0.04
de,0,1.3764566290083028e-09,0.04
