DE_type,repetition,scores,exec_time
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-6.945635158870504e-53,0.1
de,0,-1.512759603014427e-45,0.1
de,0,-4.412086598648059e-45,0.1
de,0,-4.412086598648059e-45,0.1
de,0,-4.412086598648059e-45,0.1
de,0,-4.412086598648059e-45,0.1
de,0,-4.412086598648059e-45,0.1
de,0,-1.3509096377635127e-35,0.1
de,0,-9.200713313228837e-09,0.1
de,0,-9.200713313228837e-09,0.1
de,0,-9.200713313228837e-09,0.1
de,0,-9.200713313228837e-09,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.24494550085361752,0.1
de,0,-0.5701783091183635,0.1
de,0,-0.8085774018328722,0.1
de,0,-0.9722855851278379,0.1
de,0,-0.9722855851278379,0.1
de,0,-0.9722855851278379,0.1
de,0,-0.9990622184871872,0.1
de,0,-0.9991643822405238,0.1
de,0,-0.9991643822405238,0.1
de,0,-0.9998888980047254,0.1
de,0,-0.9999165137872403,0.1
de,0,-0.9999165137872403,0.1
de,0,-0.9999165137872403,0.1
de,0,-0.9999979851973966,0.1
de,0,-0.9999979851973966,0.1
de,0,-0.9999979851973966,0.1
de,0,-0.9999979851973966,0.1
de,0,-0.9999998399752357,0.1
de,0,-0.9999998399752357,0.1
de,0,-0.9999998399752357,0.1
de,0,-0.9999998399752357,0.1
de,0,-0.9999998399752357,0.1
de,0,-0.9999998399752357,0.1
de,0,-0.9999998399752357,0.1
de,0,-0.9999999660550909,0.1
de,0,-0.99999998274223,0.1
de,0,-0.99999998274223,0.1
de,0,-0.99999998274223,0.1
de,0,-0.9999999923255376,0.1
de,0,-0.9999999966695463,0.1
de,0,-0.9999999997763495,0.1
de,0,-0.9999999997763495,0.1
de,0,-0.9999999997763495,0.1
de,0,-0.9999999997763495,0.1
de,0,-0.9999999997763495,0.1
de,0,-0.999999999849341,0.1
de,0,-0.9999999999864455,0.1
de,0,-0.9999999999864455,0.1
de,0,-0.9999999999864455,0.1
de,0,-0.9999999999881485,0.1
de,0,-0.9999999999960979,0.1
de,0,-0.9999999999994382,0.1
de,0,-0.9999999999994382,0.1
de,0,-0.9999999999995184,0.1
de,0,-0.9999999999995184,0.1
de,0,-0.9999999999995184,0.1
de,0,-0.9999999999999474,0.1
de,0,-0.9999999999999474,0.1
de,0,-0.9999999999999474,0.1
de,0,-0.9999999999999474,0.1
de,0,-0.9999999999999474,0.1
de,0,-0.999999999999989,0.1
de,0,-0.9999999999999958,0.1
de,0,-0.9999999999999994,0.1
de,0,-0.9999999999999994,0.1
de,0,-0.9999999999999997,0.1
de,0,-0.9999999999999997,0.1
de,0,-0.9999999999999999,0.1
de,0,-0.9999999999999999,0.1
de,0,-0.9999999999999999,0.1
de,0,-0.9999999999999999,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,0,-1.0,0.1
de,1,-6.945635158870504e-53,0.1
de,1,-6.945635158870504e-53,0.1
de,1,-6.945635158870504e-53,0.1
de,1,-6.945635158870504e-53,0.1
de,1,-6.945635158870504e-53,0.1
de,1,-6.945635158870504e-53,0.1
de,1,-6.945635158870504e-53,0.1
de,1,-6.945635158870504e-53,0.1
de,1,-6.945635158870504e-53,0.1
de,1,-2.5302725930428004e-37,0.1
de,1,-2.5302725930428004e-37,0.1
de,1,-1.4453300263761758e-18,0.1
de,1,-1.4453300263761758e-18,0.1
de,1,-1.4453300263761758e-18,0.1
de,1,-1.4453300263761758e-18,0.1
de,1,-1.4453300263761758e-18,0.1
de,1,-1.4453300263761758e-18,0.1
de,1,-2.2612473240827644e-09,0.1
de,1,-2.08892948689297e-07,0.1
de,1,-0.045942348223058385,0.1
de,1,-0.045942348223058385,0.1
de,1,-0.045942348223058385,0.1
de,1,-0.045942348223058385,0.1
de,1,-0.045942348223058385,0.1
de,1,-0.045942348223058385,0.1
de,1,-0.045942348223058385,0.1
de,1,-0.045942348223058385,0.1
de,1,-0.5563166402062156,0.1
de,1,-0.5563166402062156,0.1
de,1,-0.5563166402062156,0.1
de,1,-0.880246450764661,0.1
de,1,-0.9945529097155834,0.1
de,1,-0.9945529097155834,0.1
de,1,-0.9945529097155834,0.1
de,1,-0.9997077947048438,0.1
de,1,-0.9997077947048438,0.1
de,1,-0.9997077947048438,0.1
de,1,-0.9997077947048438,0.1
de,1,-0.9997077947048438,0.1
de,1,-0.9997077947048438,0.1
de,1,-0.9998649553036135,0.1
de,1,-0.9998649553036135,0.1
de,1,-0.9998649553036135,0.1
de,1,-0.9999807814873313,0.1
de,1,-0.999986148710606,0.1
de,1,-0.9999937150430002,0.1
de,1,-0.9999937150430002,0.1
de,1,-0.9999942966920349,0.1
de,1,-0.9999977337449238,0.1
de,1,-0.9999998826988905,0.1
de,1,-0.9999998826988905,0.1
de,1,-0.9999998826988905,0.1
de,1,-0.9999999548694024,0.1
de,1,-0.9999999548694024,0.1
de,1,-0.9999999548694024,0.1
de,1,-0.9999999675110564,0.1
de,1,-0.9999999790502622,0.1
de,1,-0.9999999963937056,0.1
de,1,-0.9999999968548532,0.1
de,1,-0.9999999991384629,0.1
de,1,-0.9999999991384629,0.1
de,1,-0.9999999998700453,0.1
de,1,-0.999999999916739,0.1
de,1,-0.999999999916739,0.1
de,1,-0.9999999999499202,0.1
de,1,-0.9999999999499202,0.1
de,1,-0.9999999999882062,0.1
de,1,-0.999999999997171,0.1
de,1,-0.999999999997171,0.1
de,1,-0.9999999999977653,0.1
de,1,-0.9999999999977653,0.1
de,1,-0.999999999999564,0.1
de,1,-0.999999999999564,0.1
de,1,-0.9999999999996483,0.1
de,1,-0.999999999999927,0.1
de,1,-0.999999999999927,0.1
de,1,-0.9999999999999512,0.1
de,1,-0.9999999999999777,0.1
de,1,-0.9999999999999881,0.1
de,1,-0.9999999999999948,0.1
de,1,-0.9999999999999996,0.1
de,1,-0.9999999999999996,0.1
de,1,-0.9999999999999996,0.1
de,1,-0.9999999999999996,0.1
de,1,-0.9999999999999996,0.1
de,1,-0.9999999999999997,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,1,-1.0,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-6.945635158870504e-53,0.1
de,2,-3.071022386569165e-11,0.1
de,2,-3.071022386569165e-11,0.1
de,2,-3.071022386569165e-11,0.1
de,2,-3.071022386569165e-11,0.1
de,2,-3.071022386569165e-11,0.1
de,2,-3.071022386569165e-11,0.1
de,2,-3.071022386569165e-11,0.1
de,2,-3.071022386569165e-11,0.1
de,2,-3.071022386569165e-11,0.1
de,2,-0.1003382285316795,0.1
de,2,-0.1003382285316795,0.1
de,2,-0.1003382285316795,0.1
de,2,-0.1003382285316795,0.1
de,2,-0.29507988582887246,0.1
de,2,-0.29507988582887246,0.1
de,2,-0.29507988582887246,0.1
de,2,-0.29507988582887246,0.1
de,2,-0.3739294710368593,0.1
de,2,-0.8073628623283992,0.1
de,2,-0.9319460288054481,0.1
de,2,-0.9319460288054481,0.1
de,2,-0.9319460288054481,0.1
de,2,-0.9728803154405745,0.1
de,2,-0.9728803154405745,0.1
de,2,-0.9975632594448951,0.1
de,2,-0.9988402051629574,0.1
de,2,-0.9988402051629574,0.1
de,2,-0.9998111341773802,0.1
de,2,-0.9998719751637601,0.1
de,2,-0.9998719751637601,0.1
de,2,-0.9998719751637601,0.1
de,2,-0.9998719751637601,0.1
de,2,-0.9999620117976552,0.1
de,2,-0.9999973253522889,0.1
de,2,-0.9999976425551443,0.1
de,2,-0.9999995579880164,0.1
de,2,-0.9999995579880164,0.1
de,2,-0.9999999392520085,0.1
de,2,-0.9999999392520085,0.1
de,2,-0.9999999392520085,0.1
de,2,-0.9999999392520085,0.1
de,2,-0.9999999398379362,0.1
de,2,-0.9999999931727742,0.1
de,2,-0.9999999931727742,0.1
de,2,-0.9999999971070617,0.1
de,2,-0.9999999971070617,0.1
de,2,-0.9999999991356415,0.1
