DE_type,repetition,scores,exec_time
de,0,4.178165158094518,0.11
de,0,1.6944989726627508,0.11
de,0,1.5329084373328652,0.11
de,0,0.49442187774003266,0.11
de,0,0.49442187774003266,0.11
de,0,0.49442187774003266,0.11
de,0,0.3785490088469695,0.11
de,0,0.15557603383418114,0.11
de,0,0.15557603383418114,0.11
de,0,0.15557603383418114,0.11
de,0,0.15557603383418114,0.11
de,0,0.15557603383418114,0.11
de,0,0.043202263564618454,0.11
de,0,0.014553745377472144,0.11
de,0,0.014553745377472144,0.11
de,0,0.014095445017476263,0.11
de,0,0.014095445017476263,0.11
de,0,0.004711993617375884,0.11
de,0,0.0042690372666976065,0.11
de,0,0.0042690372666976065,0.11
de,0,0.003512025874341426,0.11
de,0,0.003512025874341426,0.11
de,0,0.0012197821322252834,0.11
de,0,0.0011164279361276963,0.11
de,0,0.0003226515299855204,0.11
de,0,0.0003226515299855204,0.11
de,0,0.0003226515299855204,0.11
de,0,0.00011053787545592726,0.11
de,0,0.00011053787545592726,0.11
de,0,0.00011053787545592726,0.11
de,0,0.00011053787545592726,0.11
de,0,0.00011053787545592726,0.11
de,0,1.3387085508903146e-05,0.11
de,0,8.055604812813062e-06,0.11
de,0,1.5629984486148928e-06,0.11
de,0,1.5629984486148928e-06,0.11
de,0,1.5629984486148928e-06,0.11
de,0,1.1804831341159823e-06,0.11
de,0,1.1057787954939388e-07,0.11
de,0,1.618550273479824e-08,0.11
de,0,5.821111554670628e-09,0.11
de,0,5.821111554670628e-09,0.11
de,0,2.1125471479088767e-09,0.11
de,0,2.1125471479088767e-09,0.11
de,0,2.1125471479088767e-09,0.11
de,0,2.1125471479088767e-09,0.11
de,0,1.4197908608125646e-09,0.11
de,0,5.818720858268636e-10,0.11
de,0,5.818720858268636e-10,0.11
de,0,4.2439493403335537e-10,0.11
de,0,4.2439493403335537e-10,0.11
de,0,1.3747938768562679e-10,0.11
de,0,1.3747938768562679e-10,0.11
de,0,1.3747938768562679e-10,0.11
de,0,5.2272655664382956e-11,0.11
de,0,5.2272655664382956e-11,0.11
de,0,2.6184191066100273e-12,0.11
de,0,2.6184191066100273e-12,0.11
de,0,2.6184191066100273e-12,0.11
de,0,2.6184191066100273e-12,0.11
de,0,1.8223327415195622e-13,0.11
de,0,1.8223327415195622e-13,0.11
de,0,1.6350054938263132e-13,0.11
de,0,1.6350054938263132e-13,0.11
de,0,1.6350054938263132e-13,0.11
de,0,3.859111709161526e-14,0.11
de,0,3.240853849540492e-15,0.11
de,0,2.914415348219477e-15,0.11
de,0,2.914415348219477e-15,0.11
de,0,2.514735314018716e-15,0.11
de,0,4.3404442095427546e-16,0.11
de,0,4.3404442095427546e-16,0.11
de,0,3.049261878792971e-16,0.11
de,0,6.971464452268576e-17,0.11
de,0,6.971464452268576e-17,0.11
de,0,1.7370955645461967e-19,0.11
de,0,1.7370955645461967e-19,0.11
de,0,1.7370955645461967e-19,0.11
de,0,1.7370955645461967e-19,0.11
de,0,1.7370955645461967e-19,0.11
de,0,1.7370955645461967e-19,0.11
de,0,1.7370955645461967e-19,0.11
de,0,1.7370955645461967e-19,0.11
de,0,1.0057083832054888e-20,0.11
de,0,1.0057083832054888e-20,0.11
de,0,5.3385190515778504e-21,0.11
de,0,4.728592209859165e-21,0.11
de,0,1.5081026454935072e-21,0.11
de,0,1.5081026454935072e-21,0.11
de,0,3.5576569278538093e-22,0.11
de,0,3.5576569278538093e-22,0.11
de,0,3.5576569278538093e-22,0.11
de,0,9.309716828024417e-23,0.11
de,0,8.746146473299797e-23,0.11
de,0,2.746572972028453e-23,0.11
de,0,2.6465972953398742e-23,0.11
de,0,4.034905694107758e-25,0.11
de,0,4.034905694107758e-25,0.11
de,0,1.3546916040514788e-25,0.11
de,0,1.3546916040514788e-25,0.11
de,0,2.1569873035264702e-26,0.11
de,0,2.1569873035264702e-26,0.11
de,0,2.1569873035264702e-26,0.11
de,0,2.1569873035264702e-26,0.11
de,0,1.5176500525094436e-26,0.11
de,0,1.5176500525094436e-26,0.11
de,0,1.038535381723462e-27,0.11
de,0,1.038535381723462e-27,0.11
de,0,1.038535381723462e-27,0.11
